drwxr-xr-x 17 root     sys              0 Apr 30  1984 .
drwxrwxr-x  4 _uucp    tty              0 Apr 30  1984 adm
drwxrwxr-x  5 _uucp    tty              0 Apr 30  1984 adm/acct
drwxr-xr-x  2 _uucp    tty              0 Apr 30  1984 adm/acct/fiscal
drwxr-xr-x  2 _uucp    tty              0 Apr 30  1984 adm/acct/nite
drwxr-xr-x  2 _uucp    tty              0 Apr 30  1984 adm/acct/sum
-rw-rw-rw-  1 root     wheel            0 Apr 30  1984 adm/cronlog
-rw-rw-r--  1 root     wheel            0 Apr 30  1984 adm/dtmp
-rw-rw-r--  1 root     wheel            0 Apr 30  1984 adm/errfile
-rw-rw-r--  1 _uucp    tty              0 Apr 30  1984 adm/fee
-rw-rw-r--  1 _uucp    tty              0 Apr 30  1984 adm/pacct
drwxrwxr-x  2 _uucp    sys              0 Apr 30  1984 adm/sa
-rw-rw-r--  1 root     wheel            0 Apr 30  1984 adm/sulog
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 bin
-rwxrwxr-x  1 2        kmem          7880 Apr 30  1984 bin/300
-rwxrwxr-x  1 2        kmem          7976 Apr 30  1984 bin/300s
-rwxrwxr-x  1 2        kmem         16234 Apr 30  1984 bin/4014
-rwxrwxr-x  1 2        kmem          7230 Apr 30  1984 bin/450
-rwxrwxr-x  1 2        kmem         41296 Apr 30  1984 bin/admin
-rwxrwxr-x  1 2        kmem         12280 Apr 30  1984 bin/asa
-rwxrwxr-x  1 2        kmem         72238 Apr 30  1984 bin/awk
-rwxrwxr-x  1 2        kmem         11904 Apr 30  1984 bin/banner
-rwxrwxr-x  1 2        kmem         25572 Apr 30  1984 bin/bc
-rwxrwxr-x  1 2        kmem         17794 Apr 30  1984 bin/bdiff
-rwxrwxr-x  1 2        kmem         26000 Apr 30  1984 bin/bfs
-rwxrwxr-x  1 2        kmem         11812 Apr 30  1984 bin/cal
-rwxrwxr-x  1 2        kmem           684 Apr 30  1984 bin/calendar
-rwsrwsr-x  1 _eppc    kmem         22170 Apr 30  1984 bin/cancel
-rwxrwxr-x  1 2        kmem         23526 Apr 30  1984 bin/cb
-rwxrwxr-x  2 2        kmem         41948 Apr 30  1984 bin/cdc
-rwxrwxr-x  1 2        kmem          1299 Apr 30  1984 bin/cflow
-rwxrwxr-x  1 2        kmem         13146 Apr 30  1984 bin/checkcw
-rwxrwxr-x  1 2        kmem         12642 Apr 30  1984 bin/checkeq
-rwxrwxr-x  1 2        kmem         21584 Apr 30  1984 bin/checkmm
-rwxrwxr-x  1 2        kmem         13558 Apr 30  1984 bin/col
-rwxrwxr-x  1 2        kmem         30912 Apr 30  1984 bin/comb
-rwxrwxr-x  1 2        kmem         12228 Apr 30  1984 bin/comm
-rwxrwxr-x  1 2        kmem         18104 Apr 30  1984 bin/csplit
-rwsrwxr-x  1 root     sys          27224 Apr 30  1984 bin/ct
-rwxrwxr-x  1 2        kmem         19392 Apr 30  1984 bin/ctags
-rwxrwxr-x  1 2        kmem         24586 Apr 30  1984 bin/cu
-rwxrwxr-x  1 2        kmem          5986 Apr 30  1984 bin/cut
-rwxrwxr-x  1 2        kmem         20618 Apr 30  1984 bin/cw
-rwxrwxr-x  1 2        kmem         31139 Apr 30  1984 bin/cxref
-rwxrwxr-x  1 2        kmem         34584 Apr 30  1984 bin/dc
-rwxrwxr-x  1 2        kmem         51478 Apr 30  1984 bin/delta
-rwxrwxr-x  1 2        kmem         27816 Apr 30  1984 bin/deroff
-rwxrwxr-x  1 2        kmem           301 Apr 30  1984 bin/diff3
-rwxrwxr-x  1 2        kmem           404 Apr 30  1984 bin/diffmk
-rwxrwxr-x  1 2        kmem          1527 Apr 30  1984 bin/dircmp
-rwsrwsr-x  1 _eppc    kmem         21648 Apr 30  1984 bin/disable
-rwxrwxr-x  4 2        kmem        118394 Apr 30  1984 bin/edit
